rank,slug,title,devpost_url,stage,leverage,execution,impact,creativity,aggregate,confidence,webmcp_verification,adjudication,screenshot
29,safety-critical-roadway-design-engine,Roadway Design Compiler,https://devpost.com/software/safety-critical-roadway-design-engine,S2,9.5,9.0,9.5,9.0,37.0,0.93,VERIFIED_RUNTIME,,screenshots/safety-critical-roadway-design-engine.png
30,trace-ta9wup,TRACE,https://devpost.com/software/trace-ta9wup,S2,9.5,9.0,8.5,10.0,37.0,0.945,VERIFIED_RUNTIME,,screenshots/trace-ta9wup.png
31,knowngate,KnownGate,https://devpost.com/software/knowngate,S1R,9,9,10,9,37,0.9,UNVERIFIED,,screenshots/knowngate.png
32,overturn-hbk9dq,OVERTURN,https://devpost.com/software/overturn-hbk9dq,S1R,9,9,10,9,37,0.93,UNVERIFIED,,screenshots/overturn-hbk9dq.png
33,deputy,Deputy,https://devpost.com/software/deputy,S2,10.0,6.5,10.0,10.0,36.5,0.89,CLAIM_ONLY,,screenshots/deputy.png
34,openhardware,OpenHardware,https://devpost.com/software/openhardware,S2,9.5,9.0,9.0,9.0,36.5,0.91,VERIFIED_RUNTIME,,screenshots/openhardware.png
35,traces-3snwtz,Traces,https://devpost.com/software/traces-3snwtz,S2,9.5,9.0,8.5,9.5,36.5,0.935,VIDEO_VERIFIED,,screenshots/traces-3snwtz.png
36,spatialize,Spatialize,https://devpost.com/software/spatialize,S2,9.5,8.0,9.5,9.5,36.5,0.88,VERIFIED_RUNTIME,,screenshots/spatialize.png
37,peira,Peira,https://devpost.com/software/peira,S2,9.0,9.0,9.5,9.0,36.5,0.94,VERIFIED_RUNTIME,,screenshots/peira.png
38,e-ternal-x-webmcp,E-ternal × WebMCP,https://devpost.com/software/e-ternal-x-webmcp,S1R,10,9,9,8,36,0.94,UNVERIFIED,,screenshots/e-ternal-x-webmcp.png
39,edgewright,Edgewright,https://devpost.com/software/edgewright,S1R,10,9,9,8,36,0.83,UNVERIFIED,,screenshots/edgewright.png
40,exceptionosmcp,ExceptionOSMCP,https://devpost.com/software/exceptionosmcp,S1R,10,9,9,8,36,0.9,UNVERIFIED,,screenshots/exceptionosmcp.png
41,recall-response-workbench-recall-the-right-items,Recall Response Workbench — Recall the Right Items,https://devpost.com/software/recall-response-workbench-recall-the-right-items,S1R,10,9,9,8,36,0.93,UNVERIFIED,,screenshots/recall-response-workbench-recall-the-right-items.png
42,bridge-studio,Bridge Studio,https://devpost.com/software/bridge-studio,S1R,10,9,8,9,36,0.78,UNVERIFIED,,screenshots/bridge-studio.png
43,crom-s-research-desk-webmcp-powered-agentic-publishing,Crom’s Research Desk: WebMCP-Powered Agentic Publishing,https://devpost.com/software/crom-s-research-desk-webmcp-powered-agentic-publishing,S1R,10,9,8,9,36,0.91,UNVERIFIED,,screenshots/crom-s-research-desk-webmcp-powered-agentic-publishing.png
44,dungeonq,DungeonQ,https://devpost.com/software/dungeonq,S1R,10,9,8,9,36,0.93,UNVERIFIED,,screenshots/dungeonq.png
45,evidencebound-webmcp-authority-compiler,EvidenceBound WebMCP Authority Compiler,https://devpost.com/software/evidencebound-webmcp-authority-compiler,S1R,10,9,8,9,36,0.92,UNVERIFIED,,screenshots/evidencebound-webmcp-authority-compiler.png
46,fablecut,FableCut,https://devpost.com/software/fablecut,S1R,10,9,8,9,36,0.91,UNVERIFIED,,screenshots/fablecut.png
47,project-forge-3zyvef,FORGE — Human-Agent World Laboratory,https://devpost.com/software/project-forge-3zyvef,S1R,10,9,8,9,36,0.93,UNVERIFIED,,screenshots/project-forge-3zyvef.png
48,semantic-city-a-webmcp-city-simulator,Semantic City — Shared-World WebMCP Simulator,https://devpost.com/software/semantic-city-a-webmcp-city-simulator,S1R,10,9,8,9,36,0.91,UNVERIFIED,,screenshots/semantic-city-a-webmcp-city-simulator.png
49,agentready-js-instant-webmcp-for-every-website,AgentReady.js: Instant WebMCP for Every Website,https://devpost.com/software/agentready-js-instant-webmcp-for-every-website,S1R,10,8,9,9,36,0.89,UNVERIFIED,,screenshots/agentready-js-instant-webmcp-for-every-website.png
50,canvasops,CanvasOps,https://devpost.com/software/canvasops,S1R,10,8,9,9,36,0.85,UNVERIFIED,,screenshots/canvasops.png
51,elara-verify,Elara Verify,https://devpost.com/software/elara-verify,S1R,10,8,9,9,36,0.82,UNVERIFIED,,screenshots/elara-verify.png
52,faraday-3n1zdh,Faraday,https://devpost.com/software/faraday-3n1zdh,S1R,10,8,9,9,36,0.88,UNVERIFIED,,screenshots/faraday-3n1zdh.png
53,house-design-tool,House Design Tool,https://devpost.com/software/house-design-tool,S1R,10,8,9,9,36,0.9,UNVERIFIED,,screenshots/house-design-tool.png
54,investigation-canvas,Investigation Canvas,https://devpost.com/software/investigation-canvas,S1R,10,8,9,9,36,0.87,UNVERIFIED,,screenshots/investigation-canvas.png
55,mirror-webmcp-secure,Mirror WebMCP Secure,https://devpost.com/software/mirror-webmcp-secure,S1R,10,8,9,9,36,0.9,UNVERIFIED,,screenshots/mirror-webmcp-secure.png
56,mutua-shared-state-for-humans-and-agents,MUTUA,https://devpost.com/software/mutua-shared-state-for-humans-and-agents,S1R,10,8,9,9,36,0.89,UNVERIFIED,,screenshots/mutua-shared-state-for-humans-and-agents.png
57,opendeal,OpenDeal,https://devpost.com/software/opendeal,S1R,10,8,9,9,36,0.92,UNVERIFIED,,screenshots/opendeal.png
58,parley-ai-agents-negotiate-your-lease-via-webmcp,Parley — AI Agents Negotiate Your Lease via WebMCP,https://devpost.com/software/parley-ai-agents-negotiate-your-lease-via-webmcp,S1R,10,8,9,9,36,0.91,UNVERIFIED,,screenshots/parley-ai-agents-negotiate-your-lease-via-webmcp.png
59,promptflow-ai-ai-software-architect,PromptFlow.ai — AI Software Architect,https://devpost.com/software/promptflow-ai-ai-software-architect,S1R,10,8,9,9,36,0.9,UNVERIFIED,,screenshots/promptflow-ai-ai-software-architect.png
60,receipts-the-trust-layer-for-agentic-commerce,Receipts — the trust layer for agentic commerce,https://devpost.com/software/receipts-the-trust-layer-for-agentic-commerce,S1R,10,8,9,9,36,0.89,UNVERIFIED,,screenshots/receipts-the-trust-layer-for-agentic-commerce.png
61,seqcraft,SeqCraft,https://devpost.com/software/seqcraft,S1R,10,8,9,9,36,0.83,UNVERIFIED,,screenshots/seqcraft.png
62,swarm-spaces-where-humans-and-agents-work-together,Swarm | Spaces Where Humans and Agents Work Together,https://devpost.com/software/swarm-spaces-where-humans-and-agents-work-together,S1R,10,8,9,9,36,0.9,UNVERIFIED,,screenshots/swarm-spaces-where-humans-and-agents-work-together.png
63,taskfence,TaskFence,https://devpost.com/software/taskfence,S1R,10,8,9,9,36,0.88,UNVERIFIED,,screenshots/taskfence.png
64,the-last-word-j1zlr9,The Last Word,https://devpost.com/software/the-last-word-j1zlr9,S1R,10,8,9,9,36,0.92,UNVERIFIED,,screenshots/the-last-word-j1zlr9.png
65,toolbraid,ToolBraid,https://devpost.com/software/toolbraid,S2,10.0,8.0,9.0,9.0,36.0,0.895,VERIFIED_RUNTIME,,screenshots/toolbraid.png
66,trellis-a-personal-webmcp-marketplace,"Trellis, a Personal WebMCP Marketplace",https://devpost.com/software/trellis-a-personal-webmcp-marketplace,S1R,10,8,9,9,36,0.9,UNVERIFIED,,screenshots/trellis-a-personal-webmcp-marketplace.png
67,uce-evidence-lens,UCE Evidence Lens,https://devpost.com/software/uce-evidence-lens,S1R,10,8,9,9,36,0.9,UNVERIFIED,,screenshots/uce-evidence-lens.png
68,web2mcp,Web2MCP,https://devpost.com/software/web2mcp,S1R,10,8,9,9,36,0.84,UNVERIFIED,,screenshots/web2mcp.png
69,c-p8ulve,Co-Presence,https://devpost.com/software/c-p8ulve,S1R,10,8,8,10,36,0.83,UNVERIFIED,,screenshots/c-p8ulve.png
70,gates-of-galloo,Gates of Galloo,https://devpost.com/software/gates-of-galloo,S1R,10,8,8,10,36,0.88,UNVERIFIED,,screenshots/gates-of-galloo.png
71,once-opn5ly,ONCE,https://devpost.com/software/once-opn5ly,S1R,10,8,8,10,36,0.89,UNVERIFIED,,screenshots/once-opn5ly.png
72,overloaded,Overloaded,https://devpost.com/software/overloaded,S1R,10,8,8,10,36,0.9,UNVERIFIED,,screenshots/overloaded.png
73,saw-bridge-self-assembling-webmcp-bridge,SAW-Bridge — Self-Assembling WebMCP Bridge,https://devpost.com/software/saw-bridge-self-assembling-webmcp-bridge,S1R,10,8,8,10,36,0.89,UNVERIFIED,,screenshots/saw-bridge-self-assembling-webmcp-bridge.png
74,understudy-48o7pj,Understudy,https://devpost.com/software/understudy-48o7pj,S1R,10,8,8,10,36,0.9,UNVERIFIED,,screenshots/understudy-48o7pj.png
75,agentready-network,Agentready Network,https://devpost.com/software/agentready-network,S1R,10,7,10,9,36,0.82,UNVERIFIED,,screenshots/agentready-network.png
76,biddesk,BidDesk,https://devpost.com/software/biddesk,S2,10.0,7.0,9.5,9.5,36.0,0.83,VIDEO_VERIFIED,,screenshots/biddesk.png
77,match-room-football-s-shared-language,Match Room: Football’s Shared Language,https://devpost.com/software/match-room-football-s-shared-language,S2,9.5,9.0,8.0,9.5,36.0,0.93,VERIFIED_RUNTIME,,screenshots/match-room-football-s-shared-language.png
78,intent-8tpn1v,Intent,https://devpost.com/software/intent-8tpn1v,S2,9.5,8.5,9.0,9.0,36.0,0.925,VERIFIED_RUNTIME,,screenshots/intent-8tpn1v.png
79,living-evidence,Living Evidence,https://devpost.com/software/living-evidence,S2,9.5,8.5,9.0,9.0,36.0,0.86,VERIFIED_RUNTIME,,screenshots/living-evidence.png
80,sift-hnf1u7,Sift,https://devpost.com/software/sift-hnf1u7,S2,9.5,8.5,8.5,9.5,36.0,0.905,VIDEO_VERIFIED,,screenshots/sift-hnf1u7.png
81,airlock-t91fnr,Airlock,https://devpost.com/software/airlock-t91fnr,S2,9.5,8.0,9.0,9.5,36.0,0.935,VERIFIED_RUNTIME,,screenshots/airlock-t91fnr.png
82,warrant-4ywaz2,Warrant,https://devpost.com/software/warrant-4ywaz2,S2,9.5,8.0,9.0,9.5,36.0,0.91,VERIFIED_RUNTIME,,screenshots/warrant-4ywaz2.png
83,mend-a-local-first-recovery-workspace,Mend - a local-first recovery workspace,https://devpost.com/software/mend-a-local-first-recovery-workspace,S1R,9,9,10,8,36,0.88,UNVERIFIED,,screenshots/mend-a-local-first-recovery-workspace.png
84,arcadeops-relay,ArcadeOps Relay,https://devpost.com/software/arcadeops-relay,S1R,9,9,9,9,36,0.91,UNVERIFIED,,screenshots/arcadeops-relay.png
85,astrail,Astrail: AI-native trip planner powered by WebMCP,https://devpost.com/software/astrail,S1R,9,9,9,9,36,0.92,UNVERIFIED,,screenshots/astrail.png
86,closeout-proof-of-handoff,Closeout: Proof of Handoff,https://devpost.com/software/closeout-proof-of-handoff,S1R,9,9,9,9,36,0.8,UNVERIFIED,,screenshots/closeout-proof-of-handoff.png
87,conode-visual-workflow-builder,CoNode - Visual Workflow Builder,https://devpost.com/software/conode-visual-workflow-builder,S2,9.0,9.0,9.0,9.0,36.0,0.9,VERIFIED_RUNTIME,,screenshots/conode-visual-workflow-builder.png
88,duckstudio,DuckStudio,https://devpost.com/software/duckstudio,S1R,9,9,9,9,36,0.95,UNVERIFIED,,screenshots/duckstudio.png
89,faultline-s9f81w,Faultline,https://devpost.com/software/faultline-s9f81w,S1R,9,9,9,9,36,0.9,UNVERIFIED,,screenshots/faultline-s9f81w.png
90,flowlens-95r68e,FlowLens,https://devpost.com/software/flowlens-95r68e,S1R,9,9,9,9,36,0.76,UNVERIFIED,,screenshots/flowlens-95r68e.png
91,foodloop-ve8kl6,FoodLoop,https://devpost.com/software/foodloop-ve8kl6,S1R,9,9,9,9,36,0.92,UNVERIFIED,,screenshots/foodloop-ve8kl6.png
92,interleave-syoiaz,Interleave,https://devpost.com/software/interleave-syoiaz,S2,9.0,9.0,9.0,9.0,36.0,0.915,VERIFIED_RUNTIME,,screenshots/interleave-syoiaz.png
93,lapse-what-webmcp-tools-actually-accept,lapse — what WebMCP tools actually accept,https://devpost.com/software/lapse-what-webmcp-tools-actually-accept,S1R,9,9,9,9,36,0.91,UNVERIFIED,,screenshots/lapse-what-webmcp-tools-actually-accept.png
94,locuslocal,LocusLocal,https://devpost.com/software/locuslocal,S1R,9,9,9,9,36,0.9,UNVERIFIED,,screenshots/locuslocal.png
95,paperwork-a-form-your-agent-fills-while-you-watch,Paperwork - a form your agent fills while you watch,https://devpost.com/software/paperwork-a-form-your-agent-fills-while-you-watch,S1R,9,9,9,9,36,0.91,UNVERIFIED,,screenshots/paperwork-a-form-your-agent-fills-while-you-watch.png
96,presence-yzjk9s,Presence,https://devpost.com/software/presence-yzjk9s,S2,9.0,9.0,9.0,9.0,36.0,0.93,VERIFIED_RUNTIME,,screenshots/presence-yzjk9s.png
97,procura-7xpobg,Procura,https://devpost.com/software/procura-7xpobg,S1R,9,9,9,9,36,0.92,UNVERIFIED,,screenshots/procura-7xpobg.png
98,pyroscan-incident-twin,PyroScan // Incident Twin,https://devpost.com/software/pyroscan-incident-twin,S1R,9,9,9,9,36,0.88,UNVERIFIED,,screenshots/pyroscan-incident-twin.png
99,release-evidence-room,Release Evidence Room,https://devpost.com/software/release-evidence-room,S1R,9,9,9,9,36,0.95,UNVERIFIED,,screenshots/release-evidence-room.png
100,ringlight-3jkmbx,Ringlight,https://devpost.com/software/ringlight-3jkmbx,S1R,9,9,9,9,36,0.76,UNVERIFIED,,screenshots/ringlight-3jkmbx.png
101,spotcheck-usdp21,Spotcheck,https://devpost.com/software/spotcheck-usdp21,S2,9.0,9.0,9.0,9.0,36.0,0.935,VERIFIED_RUNTIME,,screenshots/spotcheck-usdp21.png
102,stillhere-guxdjz,StillHere,https://devpost.com/software/stillhere-guxdjz,S1R,9,9,9,9,36,0.95,UNVERIFIED,,screenshots/stillhere-guxdjz.png
103,switchboard-zero,Switchboard Zero,https://devpost.com/software/switchboard-zero,S1R,9,9,9,9,36,0.88,UNVERIFIED,,screenshots/switchboard-zero.png
104,visaflow-the-adaptive-webmcp-agent,VisaFlow: The Adaptive WebMCP Agent,https://devpost.com/software/visaflow-the-adaptive-webmcp-agent,S1R,9,9,9,9,36,0.89,UNVERIFIED,,screenshots/visaflow-the-adaptive-webmcp-agent.png
105,webmcp-n6yd7v,WEBMCP,https://devpost.com/software/webmcp-n6yd7v,S1R,9,9,9,9,36,0.89,UNVERIFIED,,screenshots/webmcp-n6yd7v.png
106,decision-passport,Decision Passport,https://devpost.com/software/decision-passport,S1R,9,9,8,10,36,0.95,UNVERIFIED,,screenshots/decision-passport.png
107,prove-it-verifiable-ai-for-screen-reader-users,Prove It — Verifiable AI for Screen Reader Users,https://devpost.com/software/prove-it-verifiable-ai-for-screen-reader-users,S1R,9,8,10,9,36,0.82,UNVERIFIED,,screenshots/prove-it-verifiable-ai-for-screen-reader-users.png
108,a11yrelay,ForgeTwin,https://devpost.com/software/a11yrelay,S1R,9,8,9,10,36,0.84,UNVERIFIED,,screenshots/a11yrelay.png
109,bashmcp-let-your-agents-control-websites-like-a-terminal,BashMCP: Give agents a terminal for your website,https://devpost.com/software/bashmcp-let-your-agents-control-websites-like-a-terminal,S2,10.0,7.0,9.0,9.5,35.5,0.825,VIDEO_VERIFIED,,screenshots/bashmcp-let-your-agents-control-websites-like-a-terminal.png
110,barge-in,Barge In,https://devpost.com/software/barge-in,S2,10.0,7.0,8.5,10.0,35.5,0.82,VIDEO_VERIFIED,,screenshots/barge-in.png
111,chisel-vgbh2t,Chisel,https://devpost.com/software/chisel-vgbh2t,S2,10.0,7.0,8.5,10.0,35.5,0.92,VIDEO_VERIFIED,,screenshots/chisel-vgbh2t.png
112,egolens-teach-your-browser-any-driving-dataset,EgoLens: Teachable Driving-Data Viewer,https://devpost.com/software/egolens-teach-your-browser-any-driving-dataset,S2,10.0,6.5,9.0,10.0,35.5,0.9,VIDEO_VERIFIED,,screenshots/egolens-teach-your-browser-any-driving-dataset.png
113,living-ark-webmcp,Living Ark: The WebMCP World That Grows New Tools,https://devpost.com/software/living-ark-webmcp,S2,10.0,6.5,9.0,10.0,35.5,0.72,CLAIM_ONLY,,screenshots/living-ark-webmcp.png
114,pagecontrol,PageCTRL,https://devpost.com/software/pagecontrol,S2,9.5,9.0,8.5,8.5,35.5,0.91,VERIFIED_RUNTIME,,screenshots/pagecontrol.png
115,seriessafe,SeriesSafe,https://devpost.com/software/seriessafe,S2,9.5,8.5,8.5,9.0,35.5,0.93,VERIFIED_RUNTIME,,screenshots/seriessafe.png
116,zingposts,Zingposts,https://devpost.com/software/zingposts,S1,9.5,8.5,8.5,9.0,35.5,0.865,UNVERIFIED,,screenshots/zingposts.png
117,gosx-3d-studio,GoSX 3D Studio,https://devpost.com/software/gosx-3d-studio,S2,9.5,8.5,8.0,9.5,35.5,0.92,CLAIM_ONLY,,screenshots/gosx-3d-studio.png
118,airlock-agent-native-data-workspace,Airlock: Agent-Native Data Workspace,https://devpost.com/software/airlock-agent-native-data-workspace,S2,9.5,8.0,9.0,9.0,35.5,0.91,VERIFIED_RUNTIME,,screenshots/airlock-agent-native-data-workspace.png
119,incident-room-2m4an5,Incident Room,https://devpost.com/software/incident-room-2m4an5,S2,9.0,9.0,9.0,8.5,35.5,0.905,VERIFIED_RUNTIME,,screenshots/incident-room-2m4an5.png
120,a11ymcp-websites-that-adapt-themselves,A11yMCP — websites that adapt themselves,https://devpost.com/software/a11ymcp-websites-that-adapt-themselves,S2,9.0,8.5,9.0,9.0,35.5,0.9,VERIFIED_RUNTIME,,screenshots/a11ymcp-websites-that-adapt-themselves.png
121,consequence-sq8j5c,Consequence,https://devpost.com/software/consequence-sq8j5c,S2,9.0,8.5,9.0,9.0,35.5,0.89,VERIFIED_RUNTIME,,screenshots/consequence-sq8j5c.png
122,gildongmu,Gildongmu,https://devpost.com/software/gildongmu,S2,9.0,8.5,9.0,9.0,35.5,0.93,CLAIM_ONLY,,screenshots/gildongmu.png
123,webmcp-computer,WebMCP Computer,https://devpost.com/software/webmcp-computer,S2,9.0,8.5,9.0,9.0,35.5,0.93,VIDEO_VERIFIED,,screenshots/webmcp-computer.png
124,webmcp-foundry,webmcp-foundry,https://devpost.com/software/webmcp-foundry,S2,9.0,8.5,9.0,9.0,35.5,0.925,VIDEO_VERIFIED,,screenshots/webmcp-foundry.png
125,agentgate-g23jic,AgentGate,https://devpost.com/software/agentgate-g23jic,S1R,10,9,8,8,35,0.91,UNVERIFIED,,screenshots/agentgate-g23jic.png
126,sightline-tmkrfx,Sightline,https://devpost.com/software/sightline-tmkrfx,S1R,10,8,9,8,35,0.83,UNVERIFIED,,screenshots/sightline-tmkrfx.png
127,spendgate,SpendGate,https://devpost.com/software/spendgate,S1R,10,8,9,8,35,0.82,UNVERIFIED,,screenshots/spendgate.png
128,actalume,Actalume,https://devpost.com/software/actalume,S1R,10,8,8,9,35,0.88,UNVERIFIED,,screenshots/actalume.png
129,deckhand,Deckhand,https://devpost.com/software/deckhand,S1R,10,8,8,9,35,0.84,UNVERIFIED,,screenshots/deckhand.png
130,deeptrail,DeepTrail,https://devpost.com/software/deeptrail,S1R,10,8,8,9,35,0.89,UNVERIFIED,,screenshots/deeptrail.png
131,duet-joqp14,Duet,https://devpost.com/software/duet-joqp14,S1R,10,8,8,9,35,0.9,UNVERIFIED,,screenshots/duet-joqp14.png
132,humankey-7nez58,HumanKey,https://devpost.com/software/humankey-7nez58,S1R,10,8,8,9,35,0.9,UNVERIFIED,,screenshots/humankey-7nez58.png
133,morphus-the-3d-world-editor-your-agent-can-operate,Morphus - the 3D world editor your agent can operate,https://devpost.com/software/morphus-the-3d-world-editor-your-agent-can-operate,S1R,10,8,8,9,35,0.88,UNVERIFIED,,screenshots/morphus-the-3d-world-editor-your-agent-can-operate.png
134,nirnay,Nirnay,https://devpost.com/software/nirnay,S1R,10,8,8,9,35,0.87,UNVERIFIED,,screenshots/nirnay.png
135,oa-network-webmcp-for-native-vulkan-applications,oa::Network - WebMCP for native Vulkan applications,https://devpost.com/software/oa-network-webmcp-for-native-vulkan-applications,S1R,10,8,8,9,35,0.83,UNVERIFIED,,screenshots/oa-network-webmcp-for-native-vulkan-applications.png
136,observatory-vtphg9,Observatory,https://devpost.com/software/observatory-vtphg9,S1R,10,8,8,9,35,0.88,UNVERIFIED,,screenshots/observatory-vtphg9.png
137,persistent-web-skills-runtime,Persistent Web Skills Runtime,https://devpost.com/software/persistent-web-skills-runtime,S1R,10,8,8,9,35,0.86,UNVERIFIED,,screenshots/persistent-web-skills-runtime.png
138,recovery-desk,Recovery Desk,https://devpost.com/software/recovery-desk,S1R,10,8,8,9,35,0.9,UNVERIFIED,,screenshots/recovery-desk.png
139,synspace,Synspace,https://devpost.com/software/synspace,S1R,10,8,8,9,35,0.88,UNVERIFIED,,screenshots/synspace.png
140,tablee-play-together-human-and-agent,"Tablée — Play Together, Human and Agent",https://devpost.com/software/tablee-play-together-human-and-agent,S1R,10,8,8,9,35,0.9,UNVERIFIED,,screenshots/tablee-play-together-human-and-agent.png
141,the-unattested-click,The Unattested Click,https://devpost.com/software/the-unattested-click,S1R,10,8,8,9,35,0.89,UNVERIFIED,,screenshots/the-unattested-click.png
142,torque-run,Torque Run,https://devpost.com/software/torque-run,S1R,10,8,8,9,35,0.88,UNVERIFIED,,screenshots/torque-run.png
143,webmcp-proving-ground,Novas WebMCP Proving Ground,https://devpost.com/software/webmcp-proving-ground,S1R,10,8,8,9,35,0.87,UNVERIFIED,,screenshots/webmcp-proving-ground.png
144,zatom-v4zyke,Zatom,https://devpost.com/software/zatom-v4zyke,S1R,10,8,8,9,35,0.87,UNVERIFIED,,screenshots/zatom-v4zyke.png
145,adapt-g2lsec,ADAPT,https://devpost.com/software/adapt-g2lsec,S1R,10,7,9,9,35,0.82,UNVERIFIED,,screenshots/adapt-g2lsec.png
146,signal-f4vnid,/signal,https://devpost.com/software/signal-f4vnid,S2,9.5,8.5,7.0,10.0,35.0,0.9,VERIFIED_RUNTIME,,screenshots/signal-f4vnid.png
147,teachback-de9cr3,Teachback,https://devpost.com/software/teachback-de9cr3,S2,9.5,8.0,8.5,9.0,35.0,0.895,CLAIM_ONLY,,screenshots/teachback-de9cr3.png
148,agent-operations-center,Agent Operations Center,https://devpost.com/software/agent-operations-center,S1R,9,9,9,8,35,0.87,UNVERIFIED,,screenshots/agent-operations-center.png
149,agent-ready-z9n2ad,Agent Ready,https://devpost.com/software/agent-ready-z9n2ad,S1R,9,9,9,8,35,0.93,UNVERIFIED,,screenshots/agent-ready-z9n2ad.png
150,cleanroom-cy64z1,Cleanroom,https://devpost.com/software/cleanroom-cy64z1,S1R,9,9,9,8,35,0.88,UNVERIFIED,,screenshots/cleanroom-cy64z1.png
